Amplitude	Frequency	Hardness
0.20	0.00	161
0.20	0.00	144
0.20	318.31	151
0.20	318.31	147
0.20	787.82	143
0.20	787.82	153
0.20	1034.51	145
0.20	1034.51	150
0.28	0.00	178
0.28	0.00	169
0.28	421.76	194
0.28	421.76	169
0.28	779.86	185
0.28	779.86	175
0.28	994.72	172
0.28	994.72	178
0.40	0.00	176
0.40	0.00	159
0.40	381.97	174
0.40	381.97	161
0.40	703.46	168
0.40	703.46	170
0.40	703.46	173
0.40	1018.59	173
0.40	1018.59	164
0.48	0.00	175
0.48	0.00	170
0.48	0.00	169
0.48	436.08	184
0.48	436.08	189
0.48	692.32	177
0.48	692.32	197
0.48	964.48	178
0.48	964.48	184
0.56	0.00	162
0.56	0.00	162
0.56	280.11	178
0.56	280.11	180
0.56	585.69	152
0.56	585.69	152
0.56	585.69	151
0.56	980.39	163
0.56	980.39	159
0.56	980.39	157
