Amplitude	Frequency	Hardness
0.2	0.00	160.53
0.2	0.00	149.51
0.2	0.00	147.16
0.2	0.00	147.63
0.2	0.00	167.62
0.2	0.00	147.63
0.2	0.00	153.88
0.2	0.00	144.42
0.2	0.00	142.64
0.2	0.00	160.00
0.2	0.00	149.04
0.2	0.00	143.75
0.2	0.00	158.95
0.2	318.31	150.94
0.2	318.31	152.89
0.2	318.31	144.87
0.2	318.31	156.38
0.2	318.31	154.87
0.2	318.31	153.88
0.2	318.31	158.95
0.2	318.31	146.70
0.2	318.31	150.46
0.2	318.31	149.51
0.2	318.31	158.43
0.2	318.31	153.38
0.2	318.31	150.94
0.2	787.82	150.94
0.2	787.82	145.78
0.2	787.82	156.89
0.2	787.82	151.43
0.2	787.82	151.91
0.2	787.82	143.08
0.2	787.82	154.87
0.2	787.82	152.89
0.2	787.82	163.74
0.2	787.82	153.38
0.2	787.82	150.46
0.2	787.82	153.38
0.2	787.82	155.88
0.2	787.82	152.89
0.2	787.82	149.99
0.2	787.82	145.33
0.2	787.82	151.43
0.2	787.82	152.89
0.2	787.82	151.91
0.2	787.82	145.78
0.2	787.82	154.37
0.2	787.82	160.00
0.2	787.82	151.91
0.2	1034.51	144.87
0.2	1034.51	150.46
0.2	1034.51	151.43
0.2	1034.51	155.88
0.2	1034.51	145.33
0.2	1034.51	162.66
0.2	1034.51	149.99
0.2	1034.51	149.51
0.2	1034.51	149.04
0.2	1034.51	153.38
0.2	1034.51	152.40
0.2	1034.51	145.33
0.2	1034.51	149.51
0.2	1034.51	150.94
0.2	1034.51	163.20
0.2	1034.51	157.92
0.2	1034.51	159.47
0.2	1034.51	156.89
0.2	1034.51	161.59
0.28	0.00	178.24
0.28	0.00	169.89
0.28	0.00	165.39
0.28	0.00	166.50
0.28	0.00	179.48
0.28	0.00	172.81
0.28	0.00	174.59
0.28	0.00	164.29
0.28	0.00	158.95
0.28	0.00	172.22
0.28	0.00	168.75
0.28	0.00	175.19
0.28	0.00	161.59
0.28	0.00	162.12
0.28	0.00	159.47
0.28	0.00	167.05
0.28	421.76	194.04
0.28	421.76	184.58
0.28	421.76	194.04
0.28	421.76	188.55
0.28	421.76	180.11
0.28	421.76	150.94
0.28	421.76	167.62
0.28	421.76	171.05
0.28	421.76	179.48
0.28	421.76	171.05
0.28	421.76	168.75
0.28	421.76	176.40
0.28	421.76	168.18
0.28	421.76	166.50
0.28	421.76	167.62
0.28	779.86	184.58
0.28	779.86	185.89
0.28	779.86	187.88
0.28	779.86	181.37
0.28	779.86	185.30
0.28	779.86	189.22
0.28	779.86	172.81
0.28	779.86	190.58
0.28	779.86	178.86
0.28	779.86	170.47
0.28	779.86	174.59
0.28	779.86	177.62
0.28	779.86	171.05
0.28	779.86	175.19
0.28	994.72	171.92
0.28	994.72	166.50
0.28	994.72	181.37
0.28	994.72	184.58
0.28	994.72	186.55
0.28	994.72	173.99
0.28	994.72	168.75
0.28	994.72	169.32
0.28	994.72	181.37
0.28	994.72	170.47
0.28	994.72	177.62
0.28	994.72	163.74
0.28	994.72	163.20
0.28	994.72	172.81
0.28	994.72	156.89
0.4	0.00	175.79
0.4	0.00	165.39
0.4	0.00	172.81
0.4	0.00	161.06
0.4	0.00	166.50
0.4	0.00	158.43
0.4	0.00	165.94
0.4	0.00	162.66
0.4	0.00	165.94
0.4	0.00	155.37
0.4	0.00	158.95
0.4	0.00	155.88
0.4	0.00	166.50
0.4	0.00	167.05
0.4	0.00	154.87
0.4	381.97	173.99
0.4	381.97	169.89
0.4	381.97	178.86
0.4	381.97	171.63
0.4	381.97	181.37
0.4	381.97	169.32
0.4	381.97	179.48
0.4	381.97	154.37
0.4	381.97	165.94
0.4	381.97	156.38
0.4	381.97	176.40
0.4	381.97	161.06
0.4	381.97	166.50
0.4	381.97	166.50
0.4	381.97	164.29
0.4	381.97	150.46
0.4	381.97	165.39
0.4	703.46	167.62
0.4	703.46	173.40
0.4	703.46	163.20
0.4	703.46	177.62
0.4	703.46	180.74
0.4	703.46	163.74
0.4	703.46	170.47
0.4	703.46	189.90
0.4	703.46	177.01
0.4	703.46	179.48
0.4	703.46	180.74
0.4	703.46	171.05
0.4	703.46	157.40
0.4	703.46	151.43
0.4	703.46	167.05
0.4	703.46	161.59
0.4	703.46	162.12
0.4	703.46	157.92
0.4	703.46	173.40
0.4	703.46	155.88
0.4	703.46	169.32
0.4	703.46	162.12
0.4	703.46	162.12
0.4	703.46	156.89
0.4	1018.59	172.81
0.4	1018.59	175.79
0.4	1018.59	177.01
0.4	1018.59	162.66
0.4	1018.59	166.50
0.4	1018.59	165.39
0.4	1018.59	177.01
0.4	1018.59	171.63
0.4	1018.59	160.53
0.4	1018.59	169.89
0.4	1018.59	164.29
0.4	1018.59	169.32
0.4	1018.59	163.20
0.4	1018.59	171.63
0.4	1018.59	158.43
0.48	0.00	157.40
0.48	0.00	182.64
0.48	0.00	173.40
0.48	0.00	171.63
0.48	0.00	177.62
0.48	0.00	175.19
0.48	0.00	169.32
0.48	0.00	182.00
0.48	0.00	183.29
0.48	0.00	170.47
0.48	0.00	183.93
0.48	0.00	171.05
0.48	0.00	166.50
0.48	0.00	177.01
0.48	0.00	173.40
0.48	0.00	170.47
0.48	0.00	177.62
0.48	0.00	162.12
0.48	0.00	176.40
0.48	0.00	194.75
0.48	0.00	171.63
0.48	0.00	176.40
0.48	0.00	164.29
0.48	0.00	173.99
0.48	0.00	162.12
0.48	0.00	168.75
0.48	0.00	175.19
0.48	0.00	169.89
0.48	0.00	172.81
0.48	0.00	179.48
0.48	436.08	167.05
0.48	436.08	172.22
0.48	436.08	174.59
0.48	436.08	175.19
0.48	436.08	183.93
0.48	436.08	172.81
0.48	436.08	179.48
0.48	436.08	178.24
0.48	436.08	176.40
