Amplitude	Frequency	P0	P1	P2	P3	P4	P5
0.2	0.00	160.53	149.51	147.16	147.63	167.62	147.63
0.2	0.00	144.42	142.64	160.00	149.04	143.75	158.95
0.2	318.31	150.94	152.89	144.87	156.38	154.87	153.88
0.2	318.31	146.70	150.46	149.51	158.43	153.38	150.94
0.2	787.82	151.91	154.87	152.89	163.74	153.38	150.46
0.2	787.82	152.89	151.91	145.78	154.37	160.00	151.91
0.2	1034.51	144.87	150.46	151.43	155.88	145.33	162.66
0.2	1034.51	149.51	150.94	163.20	157.92	159.47	156.89
0.28	0.00	178.24	169.89	165.39	166.50	179.48	172.81
0.28	0.00	172.22	175.19	161.59	162.12	159.47	167.05
0.28	421.76	194.04	184.58	194.04	188.55	180.11	150.94
0.28	421.76	171.05	176.40	168.18	166.50	167.62	165.00
0.28	779.86	184.58	185.89	187.88	181.37	185.30	189.22
0.28	779.86	174.59	177.62	171.05	175.19	173.00	172.00
0.28	994.72	171.92	166.50	181.37	184.58	186.55	173.99
0.28	994.72	177.62	163.74	163.20	172.81	156.89	156.00
0.4	0.00	175.79	165.39	172.81	161.06	166.50	158.43
0.4	0.00	158.95	155.88	166.50	167.05	154.87	151.00
0.4	381.97	173.99	169.89	178.86	171.63	181.37	169.32
0.4	381.97	176.40	166.50	166.50	164.29	150.46	165.39
0.4	703.46	167.62	173.40	163.20	177.62	180.74	163.74
0.4	703.46	170.47	189.90	177.01	179.48	180.74	171.05
0.4	703.46	173.40	155.88	169.32	162.12	162.12	156.89
0.4	1018.59	172.81	175.79	177.01	162.66	166.50	165.39
0.4	1018.59	170.00	169.32	163.20	171.63	158.43	155.00
0.48	0.00	177.62	169.32	182.00	183.29	170.47	183.93
0.48	0.00	173.40	177.62	162.12	176.40	194.75	171.63
0.48	0.00	168.75	175.19	169.89	172.81	179.48	176.40
0.48	436.08	183.93	172.81	179.48	178.24	176.40	167.05
0.48	436.08	189.22	181.37	180.11	187.88	151.91	168.75
0.48	692.32	177.01	179.48	178.86	182.64	164.83	167.62
0.48	692.32	196.88	184.58	171.05	168.18	158.43	166.50
0.48	964.48	177.62	161.59	173.40	173.99	178.24	172.81
0.48	964.48	183.93	175.19	172.22	185.89	175.79	173.99
0.56	0.00	161.59	161.06	170.47	164.29	178.86	151.43
0.56	0.00	186.00	165.94	166.50	158.95	159.47	154.11
0.56	280.11	178.24	163.20	168.75	167.05	147.16	153.38
0.56	280.11	180.11	161.59	160.00	164.29	156.38	153.38
0.56	585.69	151.91	157.92	151.91	169.32	160.00	164.83
0.56	585.69	167.05	151.91	157.40	158.95	157.40	154.87
0.56	585.69	167.05	149.51	158.95	162.12	156.89	152.89
0.56	980.39	162.66	157.92	152.89	163.20	157.92	155.37
0.56	980.39	159.47	160.00	161.06	152.40	169.32	152.89
0.56	980.39	157.40	160.53	163.20	151.43	173.40	150.94
